Calendar Year,Property ID,Property Name,Address 1,City,Primary Property Type - Self Selected,Year Built,Occupancy,Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Electricity - Weather Normalized Site Electricity Intensity (Grid and Onsite Renewables) (kWh/ft²),Percent Electricity,Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Annual Maximum Demand (kW),Property GFA - Calculated (Buildings) (ft²),Electric Distribution Utility,Borough,Postal Code,Site EUI (kBtu/ft2),Weather Normalized Site EUI (kBtu/ft2),Total GHG Emissions (Metric Tons CO2e),ENERGY STAR Score,longitude,latitude
2014,5285A/008_2014,677 Toland St.,700 TOLAND ST.,San Francisco,Commercial,1968.0,,,0.0,0,,,55302,PG&E,Bayview Hunters Point,94124,15.9,15.9,66.1,80.0,-122.40037830995058,37.74286169677335
2013,5285A/008_2013,677 Toland St.,700 TOLAND ST.,San Francisco,Commercial,1968.0,,,0.0,0,,,55302,PG&E,Bayview Hunters Point,94124,17.8,16.8,70.0,82.0,-122.40037830995058,37.74286169677335
2018,5286A/020_2018,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,335786.5,3.675139820723018,100,335786.5,,91367,PG&E,Bayview Hunters Point,94124,13.2,13.4,83.9,37.0,-122.40145224607866,37.744204780457984
2019,5286A/020_2019,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,339142.6,3.711871901233487,100,339142.6,,91367,PG&E,Bayview Hunters Point,94124,13.4,13.5,85.1,37.0,-122.40145224607866,37.744204780457984
2017,5286A/020_2017,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,28.8,29.0,198.4,8.0,-122.40145224607866,37.744204780457984
2016,5286A/020_2016,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,26.9,27.3,211.0,10.0,-122.40145224607866,37.744204780457984
2015,5286A/020_2015,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,12.4,12.5,91.0,57.0,-122.40145224607866,37.744204780457984
2014,5286A/020_2014,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,10.7,11.0,78.4,66.0,-122.40145224607866,37.744204780457984
2013,5286A/020_2013,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,14.3,14.0,99.7,56.0,-122.40145224607866,37.744204780457984
2012,5286A/020_2012,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,16.1,16.0,114.6,46.0,-122.40145224607866,37.744204780457984
2011,5286A/020_2011,2225 Jerrold LLC,2225 JERROLD AVE,San Francisco,Commercial,1982.0,,,0.0,0,,,91367,PG&E,Bayview Hunters Point,94124,12.8,12.8,105.99,56.0,-122.40145224607866,37.744204780457984
2020,5287/002_2020,La Salle Industrial Park,2000 MCKINNON AVE,San Francisco,Commercial,1940.0,,704499.1,3.1450852678571426,100,704499.1,,224000,PG&E,Bayview Hunters Point,94124,11.1,11.1,159.4,,-122.39705376299985,37.74123702462262
2021,5287/002_2021,La Salle Industrial Park,2000 MCKINNON AVE,San Francisco,Commercial,1940.0,,772497.4,3.4486491071428573,100,772497.4,,224000,PG&E,Bayview Hunters Point,94124,12.2,12.2,159.5,,-122.39705376299985,37.74123702462262
2022,5287/002_2022,La Salle Industrial Park,2000 MCKINNON AVE,San Francisco,Commercial,1940.0,,944036.8,4.21445,100,944036.8,,224000,PG&E,Bayview Hunters Point,94124,14.9,14.9,220.7,,-122.39705376299985,37.74123702462262
2012,5287/002_2012,La Salle Industrial Park,2000 MCKINNON AVE,San Francisco,Commercial,1940.0,,,0.0,0,,,224000,PG&E,Bayview Hunters Point,94124,6.9,7.1,274.6,,-122.39705376299985,37.74123702462262
2024,5287/002_2024,La Salle Industrial Park,2000 MCKINNON AVE,San Francisco,Commercial,1940.0,,274734.0,1.2264910714285715,100,274734.0,,224000,PG&E,Bayview Hunters Point,94124,4.2,4.2,62.21,94.0,-122.39705376299985,37.74123702462262
2020,5291/033_2020,Bayview Commons,4435 3RD ST,San Francisco,Mixed Residential,2003.0,,201162.1,3.9618335795174793,100,201162.1,,50775,PG&E,Bayview Hunters Point,94124,31.9,32.2,95.1,,-122.38943200785243,37.73733008173351
2021,5291/033_2021,Bayview Commons,4435 3RD ST,San Francisco,Mixed Residential,2003.0,,195630.8,3.852896110290497,100,195630.8,,50775,PG&E,Bayview Hunters Point,94124,31.8,31.8,90.7,,-122.38943200785243,37.73733008173351
2022,5291/033_2022,Bayview Commons,4435 3RD ST,San Francisco,Mixed Residential,2003.0,,195317.5,3.8467257508616446,100,195317.5,,50775,PG&E,Bayview Hunters Point,94124,32.1,32.0,96.8,86.0,-122.38943200785243,37.73733008173351
2023,5291/033_2023,Bayview Commons,4435 3RD ST,San Francisco,Mixed Residential,2003.0,,208206.7,4.100575086164452,100,208206.7,,50775,PG&E,Bayview Hunters Point,94124,31.7,31.8,98.1,82.0,-122.38943200785243,37.73733008173351
2024,5291/033_2024,Bayview Commons,4435 3RD ST,San Francisco,Mixed Residential,2003.0,,183699.0,3.6179025110782868,100,183699.0,,50775,PG&E,Bayview Hunters Point,94124,28.7,28.5,85.57,92.0,-122.38943200785243,37.73733008173351
2018,5314/001_2018,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,60551.5,1.513938893889389,100,60551.5,,39996,PG&E,Bayview Hunters Point,94124,8.9,9.3,19.7,81.0,-122.39603614571048,37.73830203464728
2019,5314/001_2019,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,88287.0,2.207395739573957,100,88287.0,,39996,PG&E,Bayview Hunters Point,94124,11.6,11.7,26.2,65.0,-122.39603614571048,37.73830203464728
2020,5314/001_2020,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,85807.5,2.1454020402040204,100,85807.5,,39996,PG&E,Bayview Hunters Point,94124,10.1,10.4,22.2,,-122.39603614571048,37.73830203464728
2021,5314/001_2021,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,55703.8,1.392734273427343,100,55703.8,,39996,PG&E,Bayview Hunters Point,94124,6.3,6.3,12.8,88.0,-122.39603614571048,37.73830203464728
2022,5314/001_2022,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,35124.9,0.8782103210321033,100,35124.9,,39996,PG&E,Bayview Hunters Point,94124,5.7,5.7,12.2,94.0,-122.39603614571048,37.73830203464728
2017,5314/001_2017,1900 OAKDALE AVE,1900 OAKDALE AVE,San Francisco,Commercial,1962.0,,,0.0,0,,,39996,PG&E,Bayview Hunters Point,94124,8.3,8.6,20.0,85.0,-122.39603614571048,37.73830203464728
